"Project 
Name",Company,"Plant 
Name","Storage and/or 
Capture","Overall 
Status","Plant 
Status","Project 
Phase","Country
Location","State 
Location","Specific 
Site Location","Plant Size or 
Capture Amount","Power or 
Capture Unit","Combustion/
Separation","Capture 
Technology","Amount of CO2 
Captured/Stored","Captured/Stored 
Unit","Project 
Summary","Project 
Start Date","Project 
Cost",Currency,"Project Information 
Webpage"
South Korea CCS2,Korean Electric Power Corporation,Proposed 500-MW Plant,Capture and Storage,Active,Planned,Site Selection,South Korea,Chungcheong Province,"Undecided, Samcheonpo or Taean",300,Megawatt,Oxy-Combustion,Oxy-Fuel Combustion,3287.99989074469,Metric Tons Per Day,Proposed plan to construct a 300-MW oxy-fuel or IGCC plant and capture CO2 using either pre- or oxy-fuel combustion. 1.2 million metric tons per year of CO2 will be transported by ship and stored in saline aquifers. Sites have not been selected.,10/16/2009,,US Dollar,http://www.zeroco2.no/projects/korea-ccs2
Sumitomo Chemicals Capture Project,Sumitomo Chemicals,Sumitomo Plant,Capture,Active,Existing,Plant in Operation,Japan,Chiba Prefecture,Ichihara,,,Post-Combustion,Fluor Econamine,150,Metric Tons Per Day,CO2 scrubbing system installed for treatment of flue gases generated from onsite boilers and coal/oil boilers. Approx 150 metric tons/day of CO2 captured.,01/01/1994,,Japanese Yen,http://www.zeroco2.no/projects/sumitomo-chemicals-plant-chiba-japan
Summit Energy - Texas Clean Energy Project (TCEP),"Summit Clean Energy Texas, LLC",Penwell IGCC Plant,Capture and Storage,Terminated,In Development,Engineering design,United States,Texas,Penwell,400,Megawatt,Pre-Combustion,Rectisol,6301.99979059398,Metric Tons Per Day,"Summit's Texas Clean Energy Project (TCEP), dubbed a ""NowGen"" plant by national environmental group the Clean Air Task Force, will be a new 400-MW coal gasification plant. The project was discontinued in 2015.",01/01/2010,1726628229,US Dollar,https://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/ccpi/FE0002650.pdf
Sunrise LNG Sequestration,Woodside,Sunrise LNG Plant,Storage,Active,In Development,Planning,Australia,,Timor-Leste,,,Separation,,,,The Timor field holds about 5.4 trillion cubic feet of gas. The project will take natural gas and convert it into LNG. Currently considering if they will convert to LNG on a floating platform or ship natural gas via pipeline to a land-based plant.,01/01/2014,,Australian Dollar,https://thewest.com.au/business/oil-gas/woodsides-sunrise-lng-project-could-be-left-behind-as-east-timor-looks-elsewhere-ng-b88780136z
Surat Basin CCS Project,General Electric,TBD,Capture and Storage,Terminated,Planned,Planning,Australia,Queensland,Wandoan,400,Megawatt,Pre-Combustion,Amines,6849.99977238476,Metric Tons Per Day,"Located near Wandoan in Queensland’s Surat Basin, the project is a proposed 400-MW power station using IGCC with carbon capture and storage technologies. They also will examine promising potential CO2 sinks.",12/01/2015,,US Dollar,http://www.zeroco2.no/projects/wandoan-power-igcc
Swan Hills In-Situ Coal Gasification/Sagitawah Power Project,Swan Hills Synfuels,Swan Hills Synfuels,Capture and Storage,Terminated,Cancelled,Developing Infrastructure,Canada,Alberta,Near Swan Hills,300,Megawatt,Pre-Combustion,,3561.99988164008,Metric Tons Per Day,"The project will use In Situ Coal Gasification to tap deep, unmineable coal to produce syngas that will be processed in a conventional gas plant to remove CO2 as a byproduct stream. Project on hold due to low natural gas prices.",06/01/2009,1500000000,Canadian Dollar,http://swanhills-synfuels.com/iscg/overview/
Sweeny Polygeneration with CO2 Capture,ConocoPhillips,Commercial Source,Capture,Terminated,Planned,Planning,United States,Texas,Sweeny,683,Megawatt,Post-Combustion,ConocoPhillips E-Gas Gasification,13699.9995447695,Metric Tons Per Day,"ConocoPhillips is no longer pursuing the IGCC plant, and formally withdrew the air permit application for the project on April 13, 2012.",01/01/2016,,US Dollar,http://sequestration.mit.edu/tools/projects/sweeny.html
SWP Development Phase - Farnsworth Unit Ochiltree Project,New Mexico Institute of Mining and Technology,Arkalon Ethanol Plant and Agrium Fertilizer Plant,Storage,Active,Existing,Injection Ongoing,United States,Texas,Ochiltree County,,,Separation,Not Currently Specified,1000000,Metric Tons Total,This project seeks to injection approximately 1 million metric tons of CO2 into the Morrow Sandstone (part of the Farnsworth Unit of the Anadarko Basin in northern Texas) for the purpose of EOR activities.,10/01/2007,95539493,US Dollar,http://www.netl.doe.gov/File%20Library/factsheets/project/NT42591.pdf
SWP Validation Phase - Aneth EOR Sequestration Project,New Mexico Institute of Mining and Technology,McElmo Dome,Storage,Completed,,,United States,Utah,San Juan County,,,,,292000,Metric Tons Total,"Starting in August 2007, SWP tested EOR combined with sequestration by injecting CO2 into the Desert Creek and Ismay producing zone, approximately 5,800 feet deep, in the Aneth Oil Field in San Juan County.",08/01/2007,22076329,US Dollar,https://www.netl.doe.gov/publications/proceedings/08/rcsp/factsheets/6-SWP_Aneth%20EOR%20and%20Sequestration%20Test_%20Oil.pdf
SWP Validation Phase - Pump Canyon CO2-ECBM Sequestration Demonstration,New Mexico Institute of Mining and Technology,McElmo Dome,Storage,Completed,,,United States,New Mexico,Navajo City,,,,,16700,Metric Tons Total,The San Juan Basin pilot test examined ECBM efficacy and degree of CO2 sequestration by injecting CO2 sourced from the McElmo Dome into the coals of the Upper Cretaceous Fruitland formation in the San Juan Basin.,07/01/2008,22076329,US Dollar,https://www.adv-res.com/pdf/RECS_ARI.pdf
SWP Validation Phase - SACROC CO2 Injection Project,New Mexico Institute of Mining and Technology,Commercial Source,Storage,Completed,,,United States,Texas,Snyder,,,,,157000,Metric Tons Total,"This test included a post-audit modeling analysis of injected CO2 for EOR over the last 30 years at the SACROC Unit in the Permian Basin of Texas, in addition to intense MVA analyses of ongoing CO2 injection at SACROC.",09/01/2008,22076329,US Dollar,https://www.netl.doe.gov/publications/proceedings/08/rcsp/factsheets/10-SWP_SACROC%20EOR%20Sequestration_Oil.pdf
Taichung CCS,Taiwan Power Company,Taichung Power Station,Capture and Storage,Active,Existing,Planning,Taiwan,Taichung,Longjing,,,Post-Combustion,,10000,Metric Tons Total,"Planning a trial carbon capture programme at its Taichung coal-fired power station. The captured CO2 will be injected below the seabed off Taiwan’s west coast for permanent storage. The project will capture 10,000 metric tons of CO2 from the plant by 2014.",01/01/2014,,US Dollar,http://www.zeroco2.no/projects/taichung-ccs-1
Tampa Electric - Scale-Up of High-Temperature Syngas Cleanup Technology,Tampa Electric Power Company,TECO Polk Power Station,Capture,Completed,Existing,Engineering design,United States,Florida,Brewster,50,Megawatt,Pre-Combustion,MDEA Gas Separation Process,748.019975144416,Metric Tons Per Day,"The project designed, constructed, and operated a pre-commercial scale high-temperature syngas cleanup unit with integrated CCS technology. 300,000 tons CO2 total were injected into a saline formation.",07/20/2009,177756400,US Dollar,https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/FE0000489.pdf
Tarong Plant Algae Oil Project,MBD Energy,Tarong Power Plant,Capture and Storage,Active,Existing,Plant in Operation,Australia,Queensland,Nanango,450,Megawatt,Post-Combustion,Bio CCS Algal Synthesizer,1.91799993626773,Metric Tons Per Day,A one hectare project will use the power station's CO2-laden flue-gas to feed a Bio-CCS Algal Synthesizer.,01/01/2013,,US Dollar,http://www.mbdenergy.com/home_construction.php
Taylorville Energy Center,Tenaska Inc.,Taylorville Energy Center IGCC,Capture,Terminated,Planned,Permitting,United States,Illinois,Taylorville,630,Megawatt,Pre-Combustion,,55,% Reduction,Tenaska announced that it was cancelling both of its CCS projects on June 2013. Taylorville and Trailblazer were both cut from Tenaska's portfolio in favor of renewable and gas-fired power generation.,01/01/2014,2500000000,US Dollar,https://sequestration.mit.edu/tools/projects/taylorville.html
TEPCO Yokosuka,Tokyo Electric Power Company,Yokosuka Thermal Power Station,Capture,Completed,In Development,Capture Complete,Japan,,Yokohama-shi,1,Megawatt,Post-Combustion,Solvents,90,% Reduction,Tested five solvent systems for their CO2 capture capability. Selected best solvent (H3) and it consistently achieved 80% to 90% recovery rates.,01/01/1997,,US Dollar,http://www.psa.mhps.com/supportingdocs/forbus/hpsa/technical_papers/Advanced%20Amine-based%20CO2%20Capture%20for%20Coal-fired%20Power%20Plants.pdf
Total Lacq Project,Total,Lacq Gas Processing Plant,Capture and Storage,Completed,Existing,Capture Complete,France,,Lacq,0.9,Megawatt,Post-Combustion,,51000,Metric Tons Total,"Total has initiated a pilot CO2 capture and sequestration project in the Lacq basin. The project will inject up to 150,000 metric tons of CO2 into a depleted natural gas field in Rousse over a period of two years from 2010 to 2012. The project is ongoing.",01/01/2009,60000000,Euros,http://hub.globalccsinstitute.com/sites/default/files/publications/194253/carbon-capture-storage-lacq-pilot.pdf
Touchstone Bioconversion Pilot Plant,Touchstone Research Laboratory,Biomass Production Ponds,Capture and Storage,Completed,Existing,Plant in Operation,United States,Ohio,Cedar Lane Farms,,,,Not Currently Specified,0.0144,Liter of Algae Per Minute,The project is pumping CO2 from greenhouse furnaces into algae ponds to take advantages of CCUS opportunities with biomass to energy (biodiesel) production.,07/25/2012,,US Dollar,http://www.algaebiomass.org/wp-content/gallery/2012-algae-biomass-summit/2010/06/Joseph_Brian1.pdf
Trailblazer Energy Center,Tenaska Inc.,Tenaska Trailblazer Energy Center,Capture and Storage,Terminated,Planned,Permitting,United States,Texas,Sweetwater,600,Megawatt,Post-Combustion,Fluor Corporation’s Advanced Econamine FG Plussm Technology,15754.999476485,Metric Tons Per Day,In 2013 Tenaska cancelled the Trailblazer Energy Center project.,01/01/2015,3000000000,US Dollar,https://sequestration.mit.edu/tools/projects/tenaska.html
Turnu EOR,OMV - Austrian Mineral Oil Authority,Gas Separation Process,Storage,Active,,Injection Ongoing,Romania,,Timisoara,,,Separation,,150000,Cubic Meters Per Day,"The project is separating CO2 from CH4 on surface, and reinject back into deeper reservoirs for EOR. The project is currently conducting a feasibility study. Up to 150,000 cubic meters per day injected.",12/01/2008,52000000,Euros,http://www.co2club.ro/docs/2008.Spencer.Florian.COCA.pdf
UKy-CAER Heat-Integrated Transformative CO2 Capture Process for Pulverized Coal Power Plants,University of Kentucky Research Foundation,Trimble County Generating Station LG&E and KU,Capture,Active,Existing,Engineering design,United States,Kentucky,"Bedford, KY",10,Megawatt,Post-Combustion,UKy-CAER Heat-Integrated Transformative CO2 Capture Process,,,Selected for Phase I (Feasibility); Two projects to be downselected for Phase III (Construction/Operation).,04/01/2018,1177550,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0031583
ULCOS Florange,ArcelorMittal,Steel Plant,Capture and Storage,Hold,Existing,Developing Infrastructure,France,Lorraine,"Florange, France",0,Megawatt,Post-Combustion,Solid sorbent,1369.99995447695,Metric Tons Per Day,"Project was to store over 700,000 metric tons/year and is considered cancelled. The overall effort was to reduce current CO2 emissions from steel making by 50%.",01/01/2004,,Euros,https://sequestration.mit.edu/tools/projects/ulcos.html
ULYSSES Sequestration,Providence Resources,Commercial Source,Storage,Active,Planned,Site Characterization,Ireland,,Kish Bank Basin - Offshore Dublin,,,,,,,Conceptual study has been completed and the project is feasible. Project would store CO2 in Kish Bank Basin.,08/01/2008,,US Dollar,https://www.offshoreenergytoday.com/ulysses-gas-storage-offshore-ireland-economically-and-technically-feasible/
University of Kansas - Small-Scale Injection Project,Kansas Geological Survey,Carbon Storage Operations Within the Arbuckle Saline Reservoir and the Wellington Field for EOR,Storage,Completed,,Injection Complete,United States,Kansas,"Wellington, Kansas",,,,,40000,Metric Tons Total,"This project will inject 40,000 metric tons of supercritical CO2 into the Arbuckle saline aquifer, and 30,000 metric tons of supercritical CO2 into the oil-bearing dolomite within the Wellington Field. DOE project completed September 30, 2017.",10/01/2011,13983734,US Dollar,http://www.netl.doe.gov/publications/factsheets/project/de-fe0006821.pdf
Uthmaniyah CO2 EOR Demo Project,Saudi Aramco,Hawiyah Natural Gas Liquids Recovery Plant,Capture and Storage,Active,Existing,Injection Ongoing,Saudi Arabia,,"Near Al Hofuf, Eastern Province",,,Pre-Combustion,Amines,2191.99992716312,Metric Tons Per Day,CO2 gas separation process capture and 70 km transport to injection in Uthmaniyah Field for EOR and storage purposes.,01/01/2015,,US Dollar,http://www.globalccsinstitute.com/project/uthmaniyah-co2-eor-demonstration-project-0
Val Verde NG Plants,MCN Energy Group,"Val Verde Natural Gas Plants (Terrell, Gray Ranch, Mitchell, Puckett)",Capture and Storage,Active,Existing,Injection Ongoing,United States,Texas,Terrell/Pyros Texas,0,Megawatt,Pre-Combustion,Gas Separation,3561.99988164008,Metric Tons Per Day,"Four different NG processing plants contribute to CO2 pipeline (Terrell, Gray Ranch, Mitchell, Puckett). Oldest CO2 pipeline in the United States, began distribution to west Texas oilfields in 1972.",01/01/1998,27600000,US Dollar,http://www.zeroco2.no/projects/val-verde-natural-gas-plants
Vales Point Power Station CCS Demonstration,Delta Electricity,Vales Point Power Station,Capture and Storage,Terminated,Existing,Developing Infrastructure,Australia,New South Wales,Mannering Park,1320,Megawatt,Post-Combustion,Ammonia Absorption Technology,,,"Pilot capture plant will be moved from Munmorah to Vales power station between 2013 and 2015. It will demonstrate capture and storage of up to 3,000 metric tons per year.",01/01/2012,7000000,Australian Dollar,http://www.abc.net.au/news/2015-08-11/power-station-carbon-capture-and-storage-project-terminated/6685304
Vattenfall Janschwalde,Vattenfall,Janschwalde,Capture and Storage,Terminated,Existing,Permitting,Germany,Brandenburg,Janschwalde,3000,Megawatt,Post-Combustion,Oxy-Fuel Combustion,4657.99984522164,Metric Tons Per Day,The feasibility studies for the demonstration plant in Jänschwalde will begin in mid 2008. From early 2009 the planning and applications for permits will be the centre of activities. CO2 will be used for EGR in Altmark.,01/01/2015,1500000000,Euros,http://www.zeroco2.no/projects/vattenfall-oxyfuel-and-post-combustion-demonstration-plant-in-jaenschwalde
Veolia Environment CCS Project,Veolia Environment,Claye Souilly Treatment Plant,Capture and Storage,Active,Existing,Planning,France,,Claye Souilly,23,Megawatt,Post-Combustion,Multiple,547.999981790781,Metric Tons Per Day,"CO2 will be produced by the existing landfill biogas-to-energy units and the CO2 will be injected into a saline aquifer more then 1,500 meters deep. Project start-up from storage was estimated to begin in 2010.",01/01/2013,1900000,Euros,http://www.zeroco2.no/projects/veolia-environnement-ccs-project
Virginia Tech - Small-Scale Injection Project,Virginia Polytechnical Institute (Virginia Tech),CO2 Injection into the Oakwood or Sourwood Coal Seams in Central Appalachia,Storage,Completed,,Injection Complete,United States,Virginia,"Russell and Buchanan Counties, Virginia",,,,,20300,Metric Tons Total,"This project will evaluate unconventional carbon storage reservoirs (shales, coal seams) in Central Appalachia. The project proposes to inject 20,000 metric tons of supercritical CO2 into unmineable coal seams (Oakwood or Sourwood).",10/01/2011,15311590,US Dollar,http://www.netl.doe.gov/publications/factsheets/project/DE-FE0006827.pdf
W.A. Parish Post-Combustion CO2 Capture and Sequestration Project,NRG Energy Inc.,W.A. Generating Station,Capture and Storage,Active,Existing,Plant in Operation,United States,Texas,Thompsons,240,Megawatt,Post-Combustion,Solvents,3835.99987253547,Metric Tons Per Day,"Petra Nova Parish Holdings will retrofit a CO2 capture plant on an existing coal-fired power plant (W.A. Parish Generating Station) located in Thompsons, Texas, which is southwest of Houston. 90% capture of a 240-MWe flue stream.",06/01/2010,1000000000,US Dollar,http://www.netl.doe.gov/research/coal/project-information/fe0003311
Wallula IGCC Plant,"Wallula Resource Recovery, LLC",Wallula Energy Resource Center,Capture and Storage,Terminated,Planned,Permitting,United States,Washington,Wallula,700,Megawatt,Pre-Combustion,,65,% Reduction,"The project was cancelled in 2008 with the reason given as ""trouble obtaining drilling equipment.""",05/01/2014,2200000000,US Dollar,http://sequestration.mit.edu/tools/projects/wallula_energy_resource_center.html  
We Energies Pleasant Prairie Field Pilot,We Energies,Pleasant Prairie,Capture,Completed,Existing,Capture Complete,United States,Wisconsin,Pleasant Prairie,1.7,Megawatt,Post-Combustion,Alstom Chilled Ammonia Process,81.0999986343086,Metric Tons Per Day,"The Chilled Ammonia CO2 capture pilot at the We Energies power plant in Pleasant Prairie, Wisconsin, USA, went into operation in June 2008. Demonstrated more than 90% capture of CO2 from flue gas.",07/01/2008,,US Dollar,http://mydocs.epri.com/docs/CorporateDocuments/SectorPages/GEN/CarbonCaptureProject/doc/cc_report.pdf
West Texas and Llano Pipelines Power CCS,Trinity CO2 LLC,Anthropogenic Sources,Storage,Active,,Developing Infrastructure,United States,Texas,Permian Basin Region,,,,,1000,Metric Tons Per Day,"Trinity CO2 controls the CO2 pipelines for West Texas and Llano Pipelines. Their main CCS activities include pipeline developer, CO2 marketer, and CO2 aggregator. The CO2 is used primarily for EOR.",01/01/2010,,US Dollar,http://globalenergyobservatory.org/geoid/40300
WESTCARB Validation Phase - Arizona Utilities CO2 Storage Pilot,Arizona Public Service,Commercial Source,Storage,Completed,,,United States,Arizona,Holbrook,,,,,0,Metric Tons Total,"This project involved drilling a well approximately 3,800 feet deep to evaluate saline formation CO2 storage in Arizona’s Colorado Plateau region. Potential storage targets are the Naco and Martin formations. Insufficient permeability detected.",01/01/2008,30882258,US Dollar,http://www.westcarb.org/AZ_pilot_cholla.html
"WESTCARB Validation Phase - Northern California CO2 Reduction Project
 Reduction Project (G1)",C6 Resources,,Storage,Completed,,,United States,California, Montezuma Hills in Southern Sacramento Basin,,,,,0,Metric Tons Per Day,"The project team developed a 3D model based on well log and seismic survey data from natural gas exploration, production, and storage operations in the area. The team used the model to simulate a research-size injection of 5,440 metric tons of CO2.",01/01/2010,30882258,US Dollar,http://www.westcarb.org/norcal_co2reduction_project.html
Western Kentucky CO2 Test,Kentucky Geological Survey,Commercial Source,Storage,Completed,In Development,Well Drilling,United States,Kentucky,Hancock County,,,,,690,Metric Tons Total,Drilled through the Knox and Mount Simon formations and tested their potential to permanently store CO2. The well penetrated the Precambrian basement rocks. 323 tons of carbon dioxide were successfully injected into deep formations.,07/01/2009,8300000,US Dollar,http://www.uky.edu/KGS/kyccs/ppt/Bowersox030411.pdf
Weyburn-Midale Project,Cenovus Energy,Great Plains Synfuels Plant (US),Capture and Storage,Completed,Existing,Injection Complete,Canada,Saskatchewan,Weyburn and Midale Oil Fields,,,Pre-Combustion,Cold Methanol (Rectisol),40000000,Metric Tons Total,"A large operational EOR with CO2 storage project in Weyburn and adjacent Midale fields. The projected production with EOR is 67 million barrels. CO2 is supplied by a 205-mile pipeline from the Great Plains Synfuel Plant in North Dakota, USA.",10/01/2000,1100000000,US Dollar,https://www.undeerc.org/pcor/co2sequestrationprojects/Weyburn.aspx
White Rose CCS Project,Capture Power Limited,Drax Power Station,Capture and Storage,Potential,Planned,Permitting,United Kingdom,,"Drax, Selby, North Yorkshire",450,Megawatt,Oxy-Combustion,Oxy-Fuel Combustion,,,"On November 25, 2015, the UK announced that it was cancelling the UK £1bn CCS Competition. To date there has been no announcement of the project's current status.",09/01/2014,,US Dollar,https://sequestration.mit.edu/tools/projects/white_rose.html
Wolverine Power Supply Cooperative Inc. - Industrial Capture Project,"Wolverine Power Supply Cooperative, Inc.",Proposed Wolverine Power Plant,Capture and Storage,Terminated,Planned,,United States,Michigan,Rogers City,600,Megawatt,Industrial,Amines,822,Metric Tons Per Day,This DOE Phase I ICCS project was selected for Phase I but not for Phase II.,,2723512,US Dollar,https://www.energy.gov/articles/secretary-chu-announces-first-awards-14-billion-industrial-carbon-capture-and-storage
Yanchang Integrated Carbon Capture and Storage Demonstration Project,Shaanxi Yanchang Petroleum Group,Yanchang ICCS Demonstration Project,Capture and Storage,Active,Existing,Capture Ongoing,China,Shaanxi Province,"Shaanxi Province, China",1205.59995993972,Metric Tons Per Day,Pre-Combustion,Cold Methanol (Rectisol),136.999995447695,Metric Tons Per Day,"The second phase would capture 360,000 metric tons per annum of CO2 or greater from a gasification facility associated with industrial plants of the Shaanxi Yanchang-China National Coal Yulin Energy Chemical company. Construction has commenced.",01/01/2017,,US Dollar,https://www.globalccsinstitute.com/projects/yanchang-integrated-carbon-capture-and-storage-demonstration-project
Yates Oil Field EOR Operations,Kinder Morgan,Kinder Morgan,Storage,Active,Existing,Injection Ongoing,United States,Texas,Pecos County west of Iraan Texas,,,,,20800,Barrels Per Day,"Kinder Morgan delivers approximately 1.3 billion cubic feet per day of CO2 through about 1,300 miles of pipelines.",01/01/2006,,US Dollar,http://www.kindermorgan.com/business/co2/yates.cfm
Yulin Coal to Chemicals CCS,Shenhua Group,New Coal-to-Chemical Plant,Capture and Storage,Potential,Planned,Planning,China,Shanxi Province,Yulin City,,,Industrial,Solvents,5479.99981790781,Metric Tons Per Day,Shenhua and Dow would likely form a 50:50 joint-venture company to build and operate the project which is planned to produce a large number of different chemicals. This project is still in the early stages of development.,01/01/2017,121000000000,Chinese Yuan,https://sequestration.mit.edu/tools/projects/Yulin.html
ZENG Worsham-Steed,CO2 Global,ZENG Worsham-Steed,Capture and Storage,Potential,Planned,Plant Design,United States,Texas,Worsham-Steed,70,Megawatt,Oxy-Combustion,,870,Metric Tons Per Day,"Technology development, process design, and engineering began in 2007. May lead to development of a larger 200+ MW plant if successful.",01/01/2007,,US Dollar,https://sequestration.mit.edu/tools/projects/worsham_steed.html
ZeroGen Project,State of Queensland,ZeroGen IGCC Plant,Capture and Storage,Terminated,Cancelled,Developing Infrastructure,Australia,Queensland,Rockhampton,80,Megawatt,Pre-Combustion,,1150.79996176064,Metric Tons Per Day,"Stage 1 of the project was planned to be 80 MW and capture 420,000 metric tons of CO2 per year and stage 2 was planned to be 300 MW. The first stage was scheduled to operate in 2012 and the scaled-up version in late 2015.",01/01/2006,4300000000,Australian Dollar,http://sequestration.mit.edu/tools/projects/zerogen.html
